trade_date,eligible_rows,top_rows,missing_eligible,missing_top,largest_equal_prediction_group,cutoff_tie_group,cutoff_tie_selected,boundary_splits_tie
20230103,4540,454,368,368,368,1,1,False
20230104,4588,458,366,366,366,1,1,False
20230105,4600,460,367,366,366,1,1,False
20230106,4615,461,370,367,367,1,1,False
20230109,4608,460,370,370,370,1,1,False
20230110,4612,461,366,366,366,1,1,False
20230111,4620,462,369,366,366,1,1,False
20230112,4611,461,369,369,369,1,1,False
20230113,4616,461,369,369,368,1,1,False
20230116,4604,460,369,367,367,1,1,False
20230117,4614,461,370,369,369,1,1,False
20230118,4613,461,372,369,369,1,1,False
20230119,4619,461,371,371,371,1,1,False
20230120,4621,462,372,370,370,1,1,False
20230130,4560,456,374,372,372,1,1,False
20230131,4604,460,375,374,374,1,1,False
20230201,4578,457,374,373,373,1,1,False
20230202,4601,460,374,371,371,1,1,False
20230203,4613,461,374,374,374,1,1,False
20230206,4614,461,372,372,372,1,1,False
20230207,4606,460,373,370,370,1,1,False
20230208,4618,461,372,372,372,1,1,False
20230209,4619,461,371,371,371,1,1,False
20230210,4623,462,371,371,371,1,1,False
20230213,4601,460,371,370,370,1,1,False
20230214,4622,462,371,371,371,1,1,False
20230215,4609,460,370,370,370,1,1,False
20230216,4630,463,369,369,369,1,1,False
20230217,4622,462,370,369,369,1,1,False
20230220,4612,461,368,368,368,1,1,False
20230221,4634,463,369,369,369,1,1,False
20230222,4625,462,369,369,369,1,1,False
20230223,4628,462,371,370,370,1,1,False
20230224,4633,463,372,371,371,1,1,False
20230227,4631,463,373,372,372,1,1,False
20230228,4617,461,371,371,371,1,1,False
20230301,4611,461,371,371,371,1,1,False
20230302,4622,462,370,369,369,1,1,False
20230303,4624,462,371,370,370,1,1,False
20230306,4624,462,370,370,370,1,1,False
20230307,4623,462,370,370,370,1,1,False
20230308,4615,461,371,371,371,1,1,False
20230309,4619,461,371,371,371,1,1,False
20230310,4629,462,371,371,371,1,1,False
20230313,4619,461,369,369,369,1,1,False
20230314,4632,463,369,369,369,1,1,False
20230315,4617,461,369,369,369,1,1,False
20230316,4637,463,371,370,370,1,1,False
20230317,4621,462,373,372,371,1,1,False
20230320,4627,462,373,373,373,1,1,False
20230321,4609,460,372,372,372,1,1,False
20230322,4621,462,373,373,373,1,1,False
20230323,4626,462,371,371,371,1,1,False
20230324,4622,462,370,370,370,1,1,False
20230327,4609,460,369,369,369,1,1,False
20230328,4620,462,370,370,369,1,1,False
20230329,4628,462,370,369,369,1,1,False
20230330,4631,463,372,370,370,1,1,False
20230331,4616,461,373,371,371,1,1,False
20230403,4608,460,371,371,371,1,1,False
20230404,4630,463,371,370,370,1,1,False
20230406,4623,462,373,371,371,1,1,False
20230407,4605,460,374,373,373,1,1,False
20230410,4631,463,373,373,373,1,1,False
20230411,4618,461,373,372,372,1,1,False
20230412,4594,459,373,373,373,1,1,False
20230413,4615,461,374,372,372,1,1,False
20230414,4616,461,376,374,374,1,1,False
20230417,4610,461,374,374,374,1,1,False
20230418,4626,462,374,372,372,1,1,False
20230419,4620,462,375,374,374,1,1,False
20230420,4619,461,374,372,372,1,1,False
20230421,4639,463,377,374,374,1,1,False
20230424,4611,461,377,375,375,1,1,False
20230425,4617,461,385,377,376,1,1,False
20230426,4596,459,393,384,383,1,1,False
20230427,4611,461,409,388,388,1,1,False
20230428,4559,455,452,403,401,1,1,False
20230504,4549,454,436,436,436,1,1,False
20230505,4601,460,398,397,397,1,1,False
20230508,4595,459,403,399,398,1,1,False
20230509,4627,462,404,401,401,1,1,False
20230510,4612,461,402,401,401,1,1,False
20230511,4593,459,399,399,399,1,1,False
20230512,4623,462,398,398,398,1,1,False
20230515,4613,461,399,398,398,1,1,False
20230516,4626,462,395,395,395,1,1,False
20230517,4608,460,394,393,393,1,1,False
20230518,4605,460,394,393,393,1,1,False
20230519,4619,461,394,393,393,1,1,False
20230522,4603,460,395,394,394,1,1,False
20230523,4609,460,395,394,394,1,1,False
20230524,4604,460,395,394,394,1,1,False
20230525,4607,460,397,395,395,1,1,False
20230526,4602,460,400,397,397,1,1,False
20230529,4614,461,402,401,400,1,1,False
